Last Updated,Town,Rep District,Sen District,BECCA BALINT,Total Write Ins,Total
08/13/2026 10:56 AM,ADDISON,ADDISON-3,ADDISON_,159,2,167
08/13/2026 10:56 AM,ALBANY,ORLEANS-4,ORLEANS_,88,1,96
08/13/2026 10:56 AM,ALBURGH,GRAND ISLE CHITTENDEN,FRANKLIN_,132,4,146
08/13/2026 10:56 AM,ANDOVER,WINDHAM WINDSOR BENNINGTON,WINDSOR_,80,1,84
08/13/2026 10:56 AM,ARLINGTON,BENNINGTON-4,BENNINGTON_,260,1,275
08/13/2026 10:56 AM,ATHENS,WINDSOR WINDHAM,WINDHAM_,41,0,46
08/13/2026 10:56 AM,BAKERSFIELD,FRANKLIN-6,FRANKLIN_,98,3,108
08/13/2026 10:56 AM,BALTIMORE,WINDSOR-2,WINDSOR_,21,1,25
08/13/2026 10:56 AM,BARNARD,WINDSOR-4,WINDSOR_,170,2,188
08/13/2026 10:56 AM,BARNET,CALEDONIA 1,CALEDONIA_,204,2,210
08/13/2026 10:56 AM,BARRE CITY,WASHINGTON-3,WASHINGTON_,678,8,727
08/13/2026 10:56 AM,BARRE TOWN,WASHINGTON ORANGE,WASHINGTON_,748,25,845
08/13/2026 10:56 AM,BARTON,ORLEANS-3,ORLEANS_,129,0,132
08/13/2026 10:56 AM,BELVIDERE,LAMOILLE-2,LAMOILLE_,23,0,24
08/13/2026 10:56 AM,BENNINGTON,"BENNINGTON-2, BENNINGTON-5",BENNINGTON_,1445,12,1597
08/13/2026 10:56 AM,BENSON,RUTLAND-10,RUTLAND_,58,1,65
08/13/2026 10:56 AM,BERKSHIRE,FRANKLIN-5,FRANKLIN_,52,0,59
08/13/2026 10:56 AM,BERLIN,WASHINGTON-1,WASHINGTON_,351,11,411
08/13/2026 10:56 AM,BETHEL,WINDSOR ADDISON,WINDSOR_,214,0,224
08/13/2026 10:56 AM,BLOOMFIELD,ESSEX CALEDONIA,ESSEX_,11,0,11
08/13/2026 10:56 AM,BOLTON,WASHINGTON CHITTENDEN,CHITTENDEN-SOUTHEAST_,161,9,194
08/13/2026 10:56 AM,BRADFORD,ORANGE-2,ORANGE_,288,5,327
08/13/2026 10:56 AM,BRAINTREE,ORANGE WASHINGTON ADDISON,WASHINGTON_,145,1,157
08/13/2026 10:56 AM,BRANDON,RUTLAND-9,RUTLAND_,378,1,397
