Last Updated,Town,Rep District,Sen District,MARK COESTER,GERALD MALLOY,Total Write Ins,Total
08/13/2026 10:56 AM,ADDISON,ADDISON-3,ADDISON_,24,98,0,139
08/13/2026 10:56 AM,ALBANY,ORLEANS-4,ORLEANS_,10,27,1,40
08/13/2026 10:56 AM,ALBURGH,GRAND ISLE CHITTENDEN,FRANKLIN_,20,94,0,124
08/13/2026 10:56 AM,ANDOVER,WINDHAM WINDSOR BENNINGTON,WINDSOR_,7,42,0,50
08/13/2026 10:56 AM,ARLINGTON,BENNINGTON-4,BENNINGTON_,28,68,0,99
08/13/2026 10:56 AM,ATHENS,WINDSOR WINDHAM,WINDHAM_,8,8,0,17
08/13/2026 10:56 AM,BAKERSFIELD,FRANKLIN-6,FRANKLIN_,10,33,0,47
08/13/2026 10:56 AM,BALTIMORE,WINDSOR-2,WINDSOR_,1,15,0,17
08/13/2026 10:56 AM,BARNARD,WINDSOR-4,WINDSOR_,7,21,0,29
08/13/2026 10:56 AM,BARNET,CALEDONIA 1,CALEDONIA_,28,83,2,127
08/13/2026 10:56 AM,BARRE CITY,WASHINGTON-3,WASHINGTON_,59,221,6,319
08/13/2026 10:56 AM,BARRE TOWN,WASHINGTON ORANGE,WASHINGTON_,112,412,5,586
08/13/2026 10:56 AM,BARTON,ORLEANS-3,ORLEANS_,16,47,0,72
08/13/2026 10:56 AM,BELVIDERE,LAMOILLE-2,LAMOILLE_,4,12,0,16
08/13/2026 10:56 AM,BENNINGTON,"BENNINGTON-2, BENNINGTON-5",BENNINGTON_,117,261,2,447
08/13/2026 10:56 AM,BENSON,RUTLAND-10,RUTLAND_,19,49,0,73
08/13/2026 10:56 AM,BERKSHIRE,FRANKLIN-5,FRANKLIN_,19,68,4,105
08/13/2026 10:56 AM,BERLIN,WASHINGTON-1,WASHINGTON_,29,100,4,156
08/13/2026 10:56 AM,BETHEL,WINDSOR ADDISON,WINDSOR_,12,27,1,44
08/13/2026 10:56 AM,BLOOMFIELD,ESSEX CALEDONIA,ESSEX_,3,5,0,8
08/13/2026 10:56 AM,BOLTON,WASHINGTON CHITTENDEN,CHITTENDEN-SOUTHEAST_,4,12,1,19
08/13/2026 10:56 AM,BRADFORD,ORANGE-2,ORANGE_,16,86,2,111
08/13/2026 10:56 AM,BRAINTREE,ORANGE WASHINGTON ADDISON,WASHINGTON_,16,27,1,46
08/13/2026 10:56 AM,BRANDON,RUTLAND-9,RUTLAND_,25,108,1,150
08/13/2026 10:56 AM,BRATTLEBORO,"WINDHAM-7, WINDHAM-8, WINDHAM-9",WINDHAM_,57,87,2,157
08/13/2026 10:56 AM,BRIDGEWATER,WINDSOR-4,WINDSOR_,4,26,0,33
08/13/2026 10:56 AM,BRIDPORT,ADDISON-5,ADDISON_,13,100,0,124
08/13/2026 10:56 AM,BRIGHTON,ESSEX ORLEANS,ESSEX_,13,46,0,64
08/13/2026 10:56 AM,BRISTOL,ADDISON-4,ADDISON_,27,131,3,177
08/13/2026 10:56 AM,BROOKFIELD,ORANGE WASHINGTON ADDISON,ORANGE_,17,42,0,72
08/13/2026 10:56 AM,BROOKLINE,WINDHAM-3,WINDHAM_,9,10,1,23
08/13/2026 10:56 AM,BROWNINGTON,ORLEANS-3,ORLEANS_,4,14,2,25
08/13/2026 10:56 AM,BRUNSWICK,ESSEX CALEDONIA,ESSEX_,1,1,0,5
08/13/2026 10:56 AM,BURKE,ESSEX CALEDONIA,ORLEANS_,22,69,3,105
08/13/2026 10:56 AM,BURLINGTON,"CHITTENDEN-13, CHITTENDEN-14, CHITTENDEN-15, CHITTENDEN-16, CHITTENDEN-17, CHITTENDEN-18","CHITTENDEN-SOUTHEAST_, CHITTENDEN-CENTRAL_",47,162,6,245
08/13/2026 10:56 AM,CABOT,CALEDONIA WASHINGTON,WASHINGTON_,16,45,1,68
08/13/2026 10:56 AM,CALAIS,WASHINGTON-6,WASHINGTON_,20,75,0,119
08/13/2026 10:56 AM,CAMBRIDGE,LAMOILLE-3,LAMOILLE_,14,77,0,103
08/13/2026 10:56 AM,CANAAN,ESSEX ORLEANS,ESSEX_,12,27,0,46
08/13/2026 10:56 AM,CASTLETON,RUTLAND-3,RUTLAND_,56,119,1,188
08/13/2026 10:56 AM,CAVENDISH,WINDSOR-2,WINDSOR_,9,73,2,88
08/13/2026 10:56 AM,CHARLESTON,ESSEX ORLEANS,ORLEANS_,10,26,0,39
08/13/2026 10:56 AM,CHARLOTTE,CHITTENDEN-5,CHITTENDEN-SOUTHEAST_,9,60,1,78
08/13/2026 10:56 AM,CHELSEA,ORANGE-3,ORANGE_,7,30,1,42
08/13/2026 10:56 AM,CHESTER,WINDSOR WINDHAM,WINDSOR_,22,120,0,150
08/13/2026 10:56 AM,CHITTENDEN,RUTLAND-11,RUTLAND_,11,57,0,72
08/13/2026 10:56 AM,CLARENDON,RUTLAND-2,RUTLAND_,23,107,1,144
08/13/2026 10:56 AM,COLCHESTER,"CHITTENDEN-19, CHITTENDEN-20","GRAND ISLE_, CHITTENDEN-CENTRAL_",75,301,6,437
08/13/2026 10:56 AM,CONCORD,CALEDONIA ESSEX,ESSEX_,13,48,4,71
08/13/2026 10:56 AM,CORINTH,ORANGE-1,ORANGE_,30,73,0,113
08/13/2026 10:56 AM,CORNWALL,ADDISON-2,ADDISON_,8,47,0,67
08/13/2026 10:56 AM,COVENTRY,ORLEANS LAMOILLE,ORLEANS_,6,30,0,43
08/13/2026 10:56 AM,CRAFTSBURY,ORLEANS-4,ORLEANS_,4,26,2,35
08/13/2026 10:56 AM,DANBY,BENNINGTON RUTLAND,RUTLAND_,23,53,0,87
08/13/2026 10:56 AM,DANVILLE,CALEDONIA WASHINGTON,CALEDONIA_,34,82,1,139
08/13/2026 10:56 AM,DERBY,ORLEANS-1,ESSEX_,39,141,12,212
08/13/2026 10:56 AM,DORSET,BENNINGTON RUTLAND,BENNINGTON_,26,46,0,85
08/13/2026 10:56 AM,DOVER,WINDHAM-2,WINDHAM_,10,18,0,33
08/13/2026 10:56 AM,DUMMERSTON,WINDHAM-4,WINDHAM_,15,33,0,51
08/13/2026 10:56 AM,DUXBURY,WASHINGTON-2,WASHINGTON_,11,43,1,61
08/13/2026 10:56 AM,EAST HAVEN,ESSEX CALEDONIA,ESSEX_,3,11,2,18
08/13/2026 10:56 AM,EAST MONTPELIER,WASHINGTON-5,WASHINGTON_,22,54,2,111
08/13/2026 10:56 AM,EDEN,ORLEANS LAMOILLE,LAMOILLE_,9,25,2,39
08/13/2026 10:56 AM,ELMORE,LAMOILLE WASHINGTON,LAMOILLE_,8,16,0,26
08/13/2026 10:56 AM,ENOSBURGH,FRANKLIN-7,FRANKLIN_,21,72,5,112
08/13/2026 10:56 AM,ESSEX JUNCTION CITY,"CHITTENDEN-22, CHITTENDEN-23",CHITTENDEN-CENTRAL_,30,155,1,205
08/13/2026 10:56 AM,ESSEX TOWN,"CHITTENDEN-23, CHITTENDEN-24","CHITTENDEN-CENTRAL_, CHITTENDEN-NORTH_",48,258,3,345
08/13/2026 10:56 AM,FAIR HAVEN,RUTLAND-10,RUTLAND_,14,104,0,134
08/13/2026 10:56 AM,FAIRFAX,FRANKLIN-1,CHITTENDEN-NORTH_,27,144,1,190
08/13/2026 10:56 AM,FAIRFIELD,FRANKLIN-6,FRANKLIN_,16,56,4,80
08/13/2026 10:56 AM,FAIRLEE,ORANGE-2,ORANGE_,5,28,1,39
08/13/2026 10:56 AM,FAYSTON,WASHINGTON-2,WASHINGTON_,10,18,0,33
08/13/2026 10:56 AM,FERRISBURGH,ADDISON-3,ADDISON_,30,101,1,150
08/13/2026 10:56 AM,FLETCHER,FRANKLIN-6,LAMOILLE_,13,33,0,53
08/13/2026 10:56 AM,FRANKLIN,FRANKLIN-5,FRANKLIN_,25,74,5,116
08/13/2026 10:56 AM,GEORGIA,"CHITTENDEN FRANKLIN, FRANKLIN-1",FRANKLIN_,23,156,3,195
08/13/2026 10:56 AM,GLOVER,ORLEANS-4,ORLEANS_,12,17,2,35
08/13/2026 10:56 AM,GOSHEN,ADDISON-2,ADDISON_,1,16,0,17
08/13/2026 10:56 AM,GRAFTON,WINDSOR WINDHAM,WINDHAM_,9,14,0,26
08/13/2026 10:56 AM,GRANBY,ESSEX CALEDONIA,ESSEX_,3,3,0,6
08/13/2026 10:56 AM,GRAND ISLE,GRAND ISLE CHITTENDEN,GRAND ISLE_,24,101,2,136
