Last Updated,Town,Rep District,Sen District,BECCA BALINT,Total Write Ins,Total
08/18/2026 02:15:47 PM,ADDISON,ADDISON-3,ADDISON_,159,2,167
08/18/2026 02:15:47 PM,ALBANY,ORLEANS-4,ORLEANS_,88,1,96
08/18/2026 02:15:47 PM,ALBURGH,GRAND ISLE CHITTENDEN,FRANKLIN_,132,4,146
08/18/2026 02:15:47 PM,ANDOVER,WINDHAM WINDSOR BENNINGTON,WINDSOR_,80,1,84
08/18/2026 02:15:47 PM,ARLINGTON,BENNINGTON-4,BENNINGTON_,260,1,275
08/18/2026 02:15:47 PM,ATHENS,WINDSOR WINDHAM,WINDHAM_,41,0,46
08/18/2026 02:15:47 PM,BAKERSFIELD,FRANKLIN-6,FRANKLIN_,98,3,108
08/18/2026 02:15:47 PM,BALTIMORE,WINDSOR-2,WINDSOR_,21,1,25
08/18/2026 02:15:47 PM,BARNARD,WINDSOR-4,WINDSOR_,170,2,188
08/18/2026 02:15:47 PM,BARNET,CALEDONIA 1,CALEDONIA_,204,2,210
08/18/2026 02:15:47 PM,BARRE CITY,WASHINGTON-3,WASHINGTON_,678,8,727
08/18/2026 02:15:47 PM,BARRE TOWN,WASHINGTON ORANGE,WASHINGTON_,748,25,845
08/18/2026 02:15:47 PM,BARTON,ORLEANS-3,ORLEANS_,129,0,132
08/18/2026 02:15:47 PM,BELVIDERE,LAMOILLE-2,LAMOILLE_,23,0,24
08/18/2026 02:15:47 PM,BENNINGTON,"BENNINGTON-2, BENNINGTON-5",BENNINGTON_,1445,12,1597
08/18/2026 02:15:47 PM,BENSON,RUTLAND-10,RUTLAND_,58,1,65
08/18/2026 02:15:47 PM,BERKSHIRE,FRANKLIN-5,FRANKLIN_,52,0,59
08/18/2026 02:15:47 PM,BERLIN,WASHINGTON-1,WASHINGTON_,351,11,411
08/18/2026 02:15:47 PM,BETHEL,WINDSOR ADDISON,WINDSOR_,214,0,224
08/18/2026 02:15:47 PM,BOLTON,WASHINGTON CHITTENDEN,CHITTENDEN-SOUTHEAST_,161,9,194
08/18/2026 02:15:47 PM,BRADFORD,ORANGE-2,ORANGE_,288,5,327
08/18/2026 02:15:47 PM,BRAINTREE,ORANGE WASHINGTON ADDISON,WASHINGTON_,145,1,157
08/18/2026 02:15:47 PM,BRANDON,RUTLAND-9,RUTLAND_,378,1,397
08/18/2026 02:15:47 PM,BRATTLEBORO,"WINDHAM-7, WINDHAM-8, WINDHAM-9",WINDHAM_,2020,2,2151
08/18/2026 02:15:47 PM,BRIDGEWATER,WINDSOR-4,WINDSOR_,117,2,133
08/18/2026 02:15:47 PM,BRIDPORT,ADDISON-5,ADDISON_,136,1,142
08/18/2026 02:15:47 PM,BRIGHTON,ESSEX ORLEANS,ESSEX_,51,0,56
08/18/2026 02:15:47 PM,BRISTOL,ADDISON-4,ADDISON_,576,4,608
08/18/2026 02:15:47 PM,BROOKFIELD,ORANGE WASHINGTON ADDISON,ORANGE_,192,6,209
08/18/2026 02:15:47 PM,BROOKLINE,WINDHAM-3,WINDHAM_,75,0,79
08/18/2026 02:15:47 PM,BROWNINGTON,ORLEANS-3,ORLEANS_,42,1,50
08/18/2026 02:15:47 PM,BURKE,ESSEX CALEDONIA,ORLEANS_,140,0,145
08/18/2026 02:15:47 PM,BURLINGTON,"CHITTENDEN-13, CHITTENDEN-14, CHITTENDEN-15, CHITTENDEN-16, CHITTENDEN-17, CHITTENDEN-18","CHITTENDEN-SOUTHEAST_, CHITTENDEN-CENTRAL_",7651,166,8864
08/18/2026 02:15:47 PM,CABOT,CALEDONIA WASHINGTON,WASHINGTON_,185,3,195
08/18/2026 02:15:47 PM,CALAIS,WASHINGTON-6,WASHINGTON_,500,8,548
08/18/2026 02:15:47 PM,CAMBRIDGE,LAMOILLE-3,LAMOILLE_,355,3,378
08/18/2026 02:15:47 PM,CANAAN,ESSEX ORLEANS,ESSEX_,35,0,37
08/18/2026 02:15:47 PM,CASTLETON,RUTLAND-3,RUTLAND_,227,1,243
08/18/2026 02:15:47 PM,CAVENDISH,WINDSOR-2,WINDSOR_,127,2,146
08/18/2026 02:15:47 PM,CHARLESTON,ESSEX ORLEANS,ORLEANS_,61,0,63
08/18/2026 02:15:47 PM,CHARLOTTE,CHITTENDEN-5,CHITTENDEN-SOUTHEAST_,889,13,1090
08/18/2026 02:15:47 PM,CHELSEA,ORANGE-3,ORANGE_,116,1,128
08/18/2026 02:15:47 PM,CHESTER,WINDSOR WINDHAM,WINDSOR_,378,3,427
08/18/2026 02:15:47 PM,CHITTENDEN,RUTLAND-11,RUTLAND_,110,0,115
08/18/2026 02:15:47 PM,CLARENDON,RUTLAND-2,RUTLAND_,107,1,115
08/18/2026 02:15:47 PM,COLCHESTER,"CHITTENDEN-19, CHITTENDEN-20","GRAND ISLE_, CHITTENDEN-CENTRAL_",1963,123,2521
08/18/2026 02:15:47 PM,CONCORD,CALEDONIA ESSEX,ESSEX_,56,1,65
08/18/2026 02:15:47 PM,CORINTH,ORANGE-1,ORANGE_,173,4,194
08/18/2026 02:15:47 PM,CORNWALL,ADDISON-2,ADDISON_,297,0,314
08/18/2026 02:15:47 PM,COVENTRY,ORLEANS LAMOILLE,ORLEANS_,53,0,56
08/18/2026 02:15:47 PM,CRAFTSBURY,ORLEANS-4,ORLEANS_,184,0,196
08/18/2026 02:15:47 PM,DANBY,BENNINGTON RUTLAND,RUTLAND_,104,0,110
08/18/2026 02:15:47 PM,DANVILLE,CALEDONIA WASHINGTON,CALEDONIA_,270,4,292
08/18/2026 02:15:47 PM,DERBY,ORLEANS-1,ESSEX_,233,5,249
08/18/2026 02:15:47 PM,DORSET,BENNINGTON RUTLAND,BENNINGTON_,254,2,273
08/18/2026 02:15:47 PM,DOVER,WINDHAM-2,WINDHAM_,95,1,99
08/18/2026 02:15:47 PM,DUMMERSTON,WINDHAM-4,WINDHAM_,398,1,422
08/18/2026 02:15:47 PM,DUXBURY,WASHINGTON-2,WASHINGTON_,196,2,210
08/18/2026 02:15:47 PM,EAST HAVEN,ESSEX CALEDONIA,ESSEX_,24,1,27
08/18/2026 02:15:47 PM,EAST MONTPELIER,WASHINGTON-5,WASHINGTON_,700,4,756
08/18/2026 02:15:47 PM,EDEN,ORLEANS LAMOILLE,LAMOILLE_,53,0,54
08/18/2026 02:15:47 PM,ELMORE,LAMOILLE WASHINGTON,LAMOILLE_,138,2,153
08/18/2026 02:15:47 PM,ENOSBURGH,FRANKLIN-7,FRANKLIN_,131,2,137
08/18/2026 02:15:47 PM,ESSEX JUNCTION CITY,"CHITTENDEN-22, CHITTENDEN-23",CHITTENDEN-CENTRAL_,1654,26,1906
08/18/2026 02:15:47 PM,ESSEX TOWN,"CHITTENDEN-23, CHITTENDEN-24","CHITTENDEN-CENTRAL_, CHITTENDEN-NORTH_",1693,67,2054
08/18/2026 02:15:47 PM,FAIR HAVEN,RUTLAND-10,RUTLAND_,124,0,137
08/18/2026 02:15:47 PM,FAIRFAX,FRANKLIN-1,CHITTENDEN-NORTH_,408,7,447
08/18/2026 02:15:47 PM,FAIRFIELD,FRANKLIN-6,FRANKLIN_,111,3,126
08/18/2026 02:15:47 PM,FAIRLEE,ORANGE-2,ORANGE_,141,0,153
08/18/2026 02:15:47 PM,FAYSTON,WASHINGTON-2,WASHINGTON_,225,5,242
08/18/2026 02:15:47 PM,FERRISBURGH,ADDISON-3,ADDISON_,464,1,502
08/18/2026 02:15:47 PM,FLETCHER,FRANKLIN-6,LAMOILLE_,158,0,166
08/18/2026 02:15:47 PM,FRANKLIN,FRANKLIN-5,FRANKLIN_,98,1,104
08/18/2026 02:15:47 PM,GEORGIA,"CHITTENDEN FRANKLIN, FRANKLIN-1",FRANKLIN_,257,5,281
08/18/2026 02:15:47 PM,GLOVER,ORLEANS-4,ORLEANS_,117,3,124
08/18/2026 02:15:47 PM,GOSHEN,ADDISON-2,ADDISON_,35,1,37
08/18/2026 02:15:47 PM,GRAFTON,WINDSOR WINDHAM,WINDHAM_,82,0,87
08/18/2026 02:15:47 PM,GRAND ISLE,GRAND ISLE CHITTENDEN,GRAND ISLE_,298,10,335
08/18/2026 02:15:47 PM,GRANVILLE,ORANGE WASHINGTON ADDISON,ADDISON_,29,0,30
08/18/2026 02:15:47 PM,GREENSBORO,ORLEANS-4,ORLEANS_,160,0,170
08/18/2026 02:15:47 PM,GROTON,ORANGE CALEDONIA,CALEDONIA_,63,1,71
08/18/2026 02:15:47 PM,GUILDHALL,ESSEX CALEDONIA,ESSEX_,15,0,19
08/18/2026 02:15:47 PM,GUILFORD,WINDHAM-1,WINDHAM_,387,2,400
